age,workclass,education,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
46.56,Private,HS-grad,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,Low,Low,29.7,United-States,-1.0
24.48,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,35.48,United-States,-1.0
34.56,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Female,Low,Low,40.04,United-States,1.0
23.49,Private,Dropout,Married-civ-spouse,Other-service,Husband,White,Male,Low,Low,50.55,United-States,-1.0
50.38,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Female,Low,Low,28.57,United-States,-1.0
33.67,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,56.41,United-States,1.0
54.3,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,34.75,United-States,1.0
47.26,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,Low,Low,51.25,United-States,-1.0
23.23,Private,Dropout,Never-married,Other-service,Not-in-family,White,Female,Low,Low,28.67,United-States,-1.0
33.67,Self-emp-inc,HS-grad,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,Low,Low,35.95,United-States,1.0
33.67,Local-gov,HS-grad,Married-civ-spouse,Sales,Not-in-family,White,Male,Low,Low,56.41,United-States,1.0
23.35,Private,Dropout,Divorced,Adm-clerical,Not-in-family,White,Female,Low,Low,29.09,United-States,-1.0
33.78,Self-emp-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,34.75,United-States,1.0
33.67,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,56.35,United-States,1.0
23.36,Private,Dropout,Never-married,Adm-clerical,Not-in-family,White,Male,Low,Low,51.21,United-States,-1.0
30.43,Private,Dropout,Never-married,Craft-repair,Wife,White,Male,Low,Low,30.12,United-States,-1.0
35.57,Private,Associates,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,33.83,United-States,-1.0
23.53,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Male,Low,Low,27.68,United-States,-1.0
23.49,Self-emp-not-inc,Some-college,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,Low,Low,51.21,United-States,-1.0
23.34,Private,Dropout,Never-married,Other-service,Own-child,White,Female,Low,Low,29.02,United-States,-1.0
24.11,Private,HS-grad,Never-married,Craft-repair,Unmarried,White,Female,Low,Low,29.22,United-States,-1.0
23.44,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,27.48,United-States,-1.0
31.95,Private,Dropout,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,29.99,United-States,-1.0
50.39,Private,Associates,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,47.89,United-States,-1.0
23.87,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,31.23,United-States,-1.0
23.75,Private,Dropout,Never-married,Sales,Not-in-family,White,Female,Low,Low,28.02,United-States,-1.0
54.3,Private,Bachelors,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,Low,Low,56.17,United-States,1.0
33.67,Private,Bachelors,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,Low,Low,34.75,United-States,1.0
26.89,Private,Dropout,Married-civ-spouse,Other-service,Unmarried,White,Male,Low,Low,38.52,United-States,-1.0
24.95,Private,Dropout,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,Low,Low,49.21,United-States,-1.0
23.45,Private,Associates,Never-married,Other-service,Own-child,White,Female,Low,Low,27.52,United-States,-1.0
28.12,Private,Associates,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,50.23,United-States,-1.0
23.39,Private,Dropout,Never-married,Craft-repair,Own-child,White,Male,Low,Low,30.74,United-States,-1.0
33.67,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,55.67,United-States,1.0
33.67,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,34.75,United-States,1.0
49.19,Private,Dropout,Married-civ-spouse,Adm-clerical,Husband,White,Female,Low,Low,51.26,United-States,-1.0
25.69,Private,Dropout,Never-married,Craft-repair,Own-child,White,Female,Low,Low,49.62,United-States,-1.0
50.38,Private,Associates,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,51.27,United-States,-1.0
23.2,Private,Associates,Never-married,Other-service,Not-in-family,White,Female,Low,Low,28.39,United-States,-1.0
33.23,Private,Dropout,Never-married,Sales,Not-in-family,White,Female,Low,Low,51.26,United-States,-1.0
23.2,Private,Dropout,Never-married,Other-service,Own-child,White,Male,Low,Low,27.84,United-States,-1.0
23.2,Private,Dropout,Never-married,Sales,Not-in-family,White,Female,Low,Low,35.88,United-States,-1.0
48.58,Private,HS-grad,Never-married,Other-service,Husband,White,Male,Low,Low,39.27,United-States,-1.0
33.67,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,56.41,United-States,1.0
33.59,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,49.32,United-States,-1.0
50.37,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,Low,Low,30.16,United-States,-1.0
33.67,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,34.75,United-States,1.0
24.61,Private,Associates,Never-married,Sales,Husband,White,Male,Low,Low,49.26,United-States,-1.0
50.38,Private,Dropout,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,51.23,United-States,-1.0
50.12,Private,Associates,Married-civ-spouse,Other-service,Own-child,White,Male,Low,Low,27.56,United-States,-1.0
33.67,Private,Bachelors,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,Low,Low,34.75,United-States,1.0
34.83,Private,Associates,Never-married,Prof-specialty,Not-in-family,White,Male,Low,Low,47.98,United-States,-1.0
50.38,Private,HS-grad,Never-married,Craft-repair,Husband,White,Male,Low,Low,50.68,United-States,-1.0
42.94,Private,Dropout,Divorced,Craft-repair,Unmarried,White,Male,Low,Low,38.73,United-States,-1.0
30.42,Private,Associates,Never-married,Other-service,Not-in-family,White,Female,Low,Low,29.72,United-States,-1.0
