age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
19, Private,4, Divorced, Sales, Own-child, White, Female,167,63,9, United-States, <=50K
69, Self-emp-not-inc,4, Married-spouse-absent, Adm-clerical, Not-in-family, Other, Female,388,8,35, Columbia, <=50K
46, Local-gov,7, Married-civ-spouse, Priv-house-serv, Own-child, White, Male,9600,934,9, Mexico, <=50K
27, Private,6, Married-civ-spouse, ?, Unmarried, White, Female,1209,40,3, Philippines, >50K
56, State-gov,6, Married-AF-spouse, Machine-op-inspct, Unmarried, White, Male,3781,155,46, China, <=50K
37, Private,2, Married-AF-spouse, Sales, Own-child, White, Male,103,25,69, El-Salvador, <=50K
46, Private,7, Married-spouse-absent, Prof-specialty, Own-child, White, Female,26349,1562,35, Guatemala, <=50K
54, Never-worked,7, Married-AF-spouse, Protective-serv, Wife, Asian-Pac-Islander, Male,10986,312,43, Honduras, >50K
31, Self-emp-not-inc,5, Divorced, ?, Not-in-family, White, Male,874,441,3, ?, >50K
51, Self-emp-inc,6, Never-married, Farming-fishing, Husband, White, Female,2772,159,57, China, >50K
63, Self-emp-not-inc,5, Married-AF-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,486,7,33, Hong, <=50K
48, Without-pay,7, Married-civ-spouse, ?, Unmarried, Other, Male,15263,1538,9, ?, <=50K
48, ?,8, Married-spouse-absent, Prof-specialty, Own-child, White, Female,26409,1795,21, Puerto-Rico, >50K
56, State-gov,6, Married-spouse-absent, Farming-fishing, Own-child, Other, Male,3709,154,47, United-States, <=50K
59, Private,5, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Female,1906,76,44, China, <=50K
40, Private,7, Never-married, Other-service, Husband, Other, Male,10718,1258,17, Scotland, <=50K
42, Federal-gov,5, Divorced, Farming-fishing, Husband, White, Female,4007,352,61, Taiwan, <=50K
35, Self-emp-inc,8, Never-married, Farming-fishing, Other-relative, Other, Male,12136,534,24, Ecuador, <=50K
46, Without-pay,8, Married-spouse-absent, ?, Not-in-family, Other, Female,21984,1830,17, Italy, <=50K
38, Private,5, Divorced, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,3071,307,57, Mexico, <=50K
40, Private,7, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,9132,1125,14, Haiti, <=50K
45, Self-emp-not-inc,7, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,5536,213,34, El-Salvador, >50K
38, Private,7, Married-civ-spouse, Exec-managerial, Own-child, White, Male,13487,679,20, Mexico, >50K
28, Private,3, Divorced, Sales, Husband, Asian-Pac-Islander, Female,71,30,39, United-States, <=50K
47, Local-gov,7, Married-civ-spouse, ?, Husband, Other, Male,17209,1656,11, United-States, >50K
26, Self-emp-not-inc,5, Divorced, Other-service, Not-in-family, White, Female,601,472,4, Hong, >50K
44, Private,7, Married-civ-spouse, Handlers-cleaners, Unmarried, Black, Female,17599,961,22, Greece, >50K
46, Local-gov,6, Never-married, Adm-clerical, Unmarried, White, Male,19978,1305,27, United-States, >50K
33, Without-pay,7, Divorced, Handlers-cleaners, Husband, Asian-Pac-Islander, Female,7596,334,19, Ecuador, <=50K
42, Without-pay,7, Married-spouse-absent, Machine-op-inspct, Other-relative, Amer-Indian-Eskimo, Male,10082,429,36, Germany, <=50K
48, Private,8, Married-civ-spouse, ?, Unmarried, Other, Female,24973,1790,19, ?, <=50K
47, Without-pay,9, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Female,34545,2154,41, Laos, >50K
52, Self-emp-not-inc,7, Separated, Prof-specialty, Wife, Other, Male,10677,1201,5, ?, <=50K
39, Private,7, Widowed, Protective-serv, Husband, White, Female,11857,1358,19, ?, <=50K
48, Without-pay,4, Separated, Prof-specialty, Unmarried, Other, Female,6084,453,8, Vietnam, >50K
35, Private,8, Married-civ-spouse, Protective-serv, Wife, Black, Female,15580,675,24, Nicaragua, >50K
18, Private,4, Never-married, Craft-repair, Wife, White, Female,112,77,4, Columbia, >50K
34, State-gov,8, Never-married, Prof-specialty, Other-relative, White, Female,11871,509,19, Poland, <=50K
29, State-gov,7, Never-married, Priv-house-serv, Own-child, White, Female,8170,296,16, Canada, >50K
25, Private,5, Divorced, Exec-managerial, Not-in-family, White, Male,1344,530,7, England, >50K
41, Never-worked,8, Married-AF-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,24616,1298,50, Jamaica, <=50K
46, Without-pay,7, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,5338,196,35, Poland, >50K
36, Without-pay,8, Married-spouse-absent, Armed-Forces, Own-child, Other, Male,20187,877,30, Ecuador, <=50K
31, Private,6, Widowed, Prof-specialty, Own-child, White, Female,3471,409,37, United-States, >50K
49, Local-gov,7, Separated, Protective-serv, Own-child, Other, Male,12363,1412,6, Guatemala, >50K
51, Local-gov,8, Married-civ-spouse, Prof-specialty, Own-child, Other, Female,18899,1843,21, Philippines, >50K
50, Private,5, Married-spouse-absent, Sales, Husband, Asian-Pac-Islander, Male,633,68,67, Philippines, <=50K
45, State-gov,8, Never-married, Protective-serv, Not-in-family, White, Female,27572,1960,24, Philippines, >50K
42, Private,8, Divorced, Exec-managerial, Husband, Other, Female,22485,1200,52, El-Salvador, >50K
40, Local-gov,4, Married-AF-spouse, Farming-fishing, Own-child, Asian-Pac-Islander, Female,1704,193,63, Iran, <=50K
47, Federal-gov,7, Married-civ-spouse, Protective-serv, Husband, White, Male,8593,541,60, Iran, <=50K
20, State-gov,5, Separated, Exec-managerial, Wife, White, Female,214,6,2, Columbia, >50K
48, Self-emp-not-inc,8, Never-married, Exec-managerial, Unmarried, Other, Female,18265,612,42, South, >50K
46, Self-emp-not-inc,8, Married-civ-spouse, Protective-serv, Wife, Asian-Pac-Islander, Female,28870,1081,45, Italy, <=50K
43, ?,9, Never-married, Farming-fishing, Husband, Asian-Pac-Islander, Female,36469,1488,45, Columbia, <=50K
